Dataset,Method,Test Accuracy,Train Accuracy,Runtime
part,rf,0.6428571428571428,1.0,0
part,rf,0.6190476190476191,1.0,0
part,rf,0.6190476190476191,1.0,0
part,rf,0.5714285714285715,1.0,0
part,rf,0.5714285714285714,1.0,0
part,rf,0.5476190476190477,1.0,0
part,rf,0.5476190476190476,1.0,0
part,rf,0.5476190476190476,1.0,0
part,rf,0.5476190476190476,1.0,0
part,rf,0.5476190476190476,1.0,0
part,rf,0.5238095238095238,1.0,0
part,rf,0.5238095238095238,1.0,0
part,rf,0.4523809523809524,1.0,0
part,rf,0.5,1.0,0
part,rf,0.4761904761904762,1.0,0
part,rf,0.5,1.0,0
part,rf,0.4285714285714285,1.0,0
part,rf,0.3095238095238095,1.0,0
part,rf,0.4761904761904761,1.0,0
part,rf,0.4523809523809524,1.0,0
part,rf,0.5,1.0,0
part,rf,0.5,1.0,0
part,rf,0.4285714285714285,1.0,0
part,rf,0.5,1.0,0
part,rf,0.4761904761904762,1.0,0
part,rf,0.4761904761904762,1.0,0
part,rf,0.4761904761904762,1.0,0
part,rf,0.4761904761904762,1.0,0
part,rf,0.4761904761904761,1.0,0
part,rf,0.5,1.0,0
part,svm,0.5714285714285714,0.9642857142857144,0
part,svm,0.5238095238095238,0.988095238095238,0
part,svm,0.3571428571428571,0.9642857142857144,0
part,svm,0.4523809523809524,0.9166666666666666,0
part,svm,0.4285714285714285,0.988095238095238,0
part,svm,0.380952380952381,0.9642857142857144,0
part,svm,0.4761904761904762,0.9404761904761906,0
part,svm,0.4285714285714285,0.9285714285714284,0
part,svm,0.3095238095238095,0.9523809523809524,0
part,svm,0.380952380952381,0.9404761904761904,0
part,svm,0.4523809523809524,0.9523809523809524,0
part,svm,0.4047619047619048,0.9523809523809524,0
part,svm,0.4523809523809524,0.9285714285714284,0
part,svm,0.4285714285714286,0.9404761904761904,0
part,svm,0.4761904761904762,0.9761904761904764,0
part,svm,0.4047619047619047,0.9761904761904764,0
part,svm,0.4285714285714285,0.9523809523809524,0
part,svm,0.4523809523809524,0.9642857142857144,0
part,svm,0.380952380952381,0.9761904761904764,0
part,svm,0.4523809523809524,0.9642857142857144,0
part,svm,0.4285714285714285,0.9523809523809524,0
part,svm,0.5,0.9404761904761906,0
part,svm,0.4047619047619048,0.9404761904761904,0
part,svm,0.4047619047619047,0.9761904761904764,0
part,svm,0.4285714285714285,0.9166666666666666,0
part,svm,0.380952380952381,0.9642857142857144,0
part,svm,0.5,0.9285714285714284,0
part,svm,0.4523809523809524,0.9404761904761904,0
part,svm,0.4285714285714285,0.9404761904761906,0
part,svm,0.4285714285714285,0.9523809523809524,0
part,transformer,0.7380952380952381,0.4285714285714285,0
part,transformer,0.7142857142857143,0.6071428571428571,0
part,transformer,0.7142857142857143,0.6666666666666666,0
part,transformer,0.7142857142857143,0.8452380952380952,0
part,transformer,0.6904761904761906,0.2857142857142857,0
part,transformer,0.6904761904761906,0.0833333333333333,0
part,transformer,0.6904761904761906,0.7976190476190476,0
part,transformer,0.6904761904761906,0.4404761904761904,0
part,transformer,0.6666666666666666,0.5952380952380952,0
part,transformer,0.6666666666666666,0.5952380952380952,0
part,transformer,0.6666666666666666,0.238095238095238,0
part,transformer,0.6666666666666666,0.5476190476190476,0
part,transformer,0.6666666666666666,0.3571428571428571,0
part,transformer,0.6428571428571429,0.5476190476190477,0
part,transformer,0.6428571428571429,0.7738095238095237,0
part,transformer,0.6428571428571429,0.3571428571428571,0
part,transformer,0.6428571428571429,0.4880952380952381,0
part,transformer,0.6428571428571429,0.6071428571428572,0
part,transformer,0.6190476190476191,0.4285714285714285,0
part,transformer,0.6190476190476191,0.369047619047619,0
part,transformer,0.6190476190476191,0.3095238095238095,0
part,transformer,0.6190476190476191,0.8452380952380952,0
part,transformer,0.6190476190476191,0.1547619047619047,0
part,transformer,0.619047619047619,0.5357142857142857,0
part,transformer,0.619047619047619,0.4285714285714285,0
part,transformer,0.5952380952380952,0.1309523809523809,0
part,transformer,0.5952380952380952,0.6785714285714285,0
part,transformer,0.5714285714285714,0.0714285714285714,0
part,transformer,0.5714285714285714,0.4404761904761904,0
part,transformer,0.5714285714285714,0.6785714285714285,0
part,xgb,0.5,1.0,0
part,xgb,0.4285714285714285,1.0,0
part,xgb,0.4047619047619048,1.0,0
part,xgb,0.4285714285714286,1.0,0
part,xgb,0.4285714285714285,1.0,0
part,xgb,0.380952380952381,1.0,0
part,xgb,0.2619047619047619,1.0,0
part,xgb,0.380952380952381,1.0,0
part,xgb,0.3333333333333333,1.0,0
part,xgb,0.380952380952381,1.0,0
part,xgb,0.3571428571428571,1.0,0
part,xgb,0.4047619047619047,1.0,0
part,xgb,0.4047619047619047,1.0,0
part,xgb,0.4285714285714286,1.0,0
part,xgb,0.2619047619047619,1.0,0
part,xgb,0.4285714285714285,1.0,0
part,xgb,0.3571428571428571,1.0,0
part,xgb,0.380952380952381,1.0,0
part,xgb,0.3571428571428571,1.0,0
part,xgb,0.2619047619047618,1.0,0
part,xgb,0.5,1.0,0
part,xgb,0.380952380952381,1.0,0
part,xgb,0.380952380952381,1.0,0
part,xgb,0.4523809523809524,1.0,0
part,xgb,0.380952380952381,1.0,0
part,xgb,0.4285714285714285,1.0,0
part,xgb,0.238095238095238,1.0,0
part,xgb,0.4285714285714285,1.0,0
part,xgb,0.4047619047619047,1.0,0
part,xgb,0.3571428571428571,1.0,0
species,cnn,0.9145833333333334,0.7781250000000001,0
species,cnn,0.88125,0.7479166666666667,0
species,cnn,0.8270833333333334,0.740625,0
species,cnn,0.8270833333333334,0.646875,0
species,cnn,0.81875,0.6885416666666666,0
